lat,lon,landcover
58.64948516,13.74046994,ForestNaturalAreas
64.10778114,13.74885095,Water
62.62720263,13.74968361,ForestNaturalAreas
58.48180022,13.75070872,ForestNaturalAreas
59.77611309,13.75292062,ForestNaturalAreas
57.70652048,13.75301532,Water
57.89486393,13.76162524,ForestNaturalAreas
58.29158917,13.76254572,ForestNaturalAreas
58.10818784,13.76945411,ForestNaturalAreas
63.48236522,13.77096108,ForestNaturalAreas
60.30003529,13.77455551,ForestNaturalAreas
58.83615535,13.77647796,ForestNaturalAreas
63.06938891,13.78569025,ForestNaturalAreas
64.0537741,13.78911671,Water
62.3155985,13.80120962,ForestNaturalAreas
58.27574404,13.80177251,ForestNaturalAreas
60.92905674,13.80199654,Water
59.96217826,13.8042047,Water
58.74451888,13.80929558,ForestNaturalAreas
58.47525291,13.81286845,ForestNaturalAreas
63.85119076,13.8219696,ForestNaturalAreas
62.80108682,13.82803883,ForestNaturalAreas
59.2184935,13.83019135,ForestNaturalAreas
61.75391607,13.83404351,ForestNaturalAreas
62.54689757,13.8362122,Water
62.93184791,13.85752974,ForestNaturalAreas
58.3006828,13.87455456,ForestNaturalAreas
64.13213923,13.87510436,Water
59.90771591,13.87564635,ForestNaturalAreas
61.11604929,13.87575064,ForestNaturalAreas
63.8747754,13.8766143,Water
61.26299037,13.87695343,ForestNaturalAreas
60.33411839,13.87862999,ForestNaturalAreas
61.95994433,13.87953759,ForestNaturalAreas
60.13265033,13.8813557,ForestNaturalAreas
58.05568133,13.88446549,ForestNaturalAreas
61.30333914,13.90111343,ForestNaturalAreas
60.49884983,13.9013036,ForestNaturalAreas
57.67653429,13.9047742,Water
58.82067352,13.92031267,ForestNaturalAreas
59.24090679,13.93268816,ForestNaturalAreas
61.17050336,13.94398544,ForestNaturalAreas
63.63948767,13.95566723,Water
59.62911941,13.96953655,ForestNaturalAreas
60.54621222,13.96993337,Wetlands
57.82421945,13.98543089,Water
61.94520551,13.98552716,ForestNaturalAreas
60.92106685,13.98715773,ForestNaturalAreas
59.94770081,13.99291006,Water
61.10847494,13.99593475,ForestNaturalAreas
63.0596676,13.99710626,AgriculturalArea
59.23569738,13.99943828,ForestNaturalAreas
60.37601238,14.0097606,ForestNaturalAreas
59.58771845,14.00992991,ForestNaturalAreas
61.21998725,14.01091649,ForestNaturalAreas
60.54878828,14.01222844,ForestNaturalAreas
58.12757086,14.01456038,ForestNaturalAreas
63.43105981,14.03112808,ForestNaturalAreas
58.3273999,14.0319251,ForestNaturalAreas
58.73605475,14.03192644,ForestNaturalAreas
61.1297167,14.03357121,ForestNaturalAreas
59.91043206,14.03654373,ForestNaturalAreas
62.4288639,14.03658217,ForestNaturalAreas
58.80339601,14.05066754,ForestNaturalAreas
61.78383846,14.05153612,ForestNaturalAreas
60.53866489,14.05302662,ForestNaturalAreas
58.9407925,14.0561576,ForestNaturalAreas
63.5736655,14.05751551,Water
58.3470859,14.06208384,ForestNaturalAreas
61.43037732,14.0664996,ForestNaturalAreas
58.32572441,14.0669353,ForestNaturalAreas
59.30582202,14.07922225,ForestNaturalAreas
62.28401921,14.08008283,ForestNaturalAreas
63.12215631,14.08202546,ForestNaturalAreas
57.84697467,14.08538151,Water
58.8646752,14.08841001,ForestNaturalAreas
63.45531669,14.08998252,Water
62.38036909,14.09965214,ForestNaturalAreas
64.22162487,14.11777805,Water
63.47228908,14.12787049,Water
58.52468897,14.12929449,ForestNaturalAreas
57.85614488,14.13235046,Water
61.03562,14.13584968,ForestNaturalAreas
63.26053394,14.13781569,ForestNaturalAreas
64.02619506,14.14110274,Water
59.64683806,14.14135257,ForestNaturalAreas
62.42423373,14.14631402,ForestNaturalAreas
60.11037107,14.14713242,ForestNaturalAreas
62.91885696,14.1472507,Wetlands
59.37943985,14.15285715,ForestNaturalAreas
59.13871093,14.15928422,Water
64.3024519,14.16001781,Water
60.5899667,14.16283101,ForestNaturalAreas
57.57975562,14.16569844,Water
63.87881908,14.1674169,Water
59.02150254,14.16833749,Water
62.64563735,14.16837489,ForestNaturalAreas
61.99514952,14.1764318,ForestNaturalAreas
62.72848622,14.18051309,ForestNaturalAreas
61.47698349,14.18496098,ForestNaturalAreas
63.85489679,14.18839558,Water
59.3698812,14.19444637,AgriculturalArea
59.2280955,14.19823704,ForestNaturalAreas
58.89961733,14.21284949,ForestNaturalAreas
62.24411393,14.21879432,ForestNaturalAreas
59.21435658,14.23148158,ForestNaturalAreas
61.32858622,14.23485146,ForestNaturalAreas
61.30999669,14.23526982,ForestNaturalAreas
